epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.632,1.32829,6.45386,0.33143,0.84272,1.33643,0,0,0,0,0,0,0,0,0,0,0,207.865,0,0.000666062,0.000666062,0.000666062
2,380.359,1.43494,5.25772,0.18318,0.98282,1.41282,0,0,0,0,0,0,0,0,0,0,0,179.929,0,0.00120079,0.00120079,0.00120079
3,551.961,1.39989,4.91614,0.16239,0.94302,1.38957,0,0,0,0,0,0,0,0,0,0,0,181.221,0,0.00160351,0.00160351,0.00160351
4,720.505,1.33373,4.57289,0.15193,0.8838,1.34209,0,0,0,0,0,0,0,0,0,0,0,220.111,0,0.001406,0.001406,0.001406
5,888.373,1.26498,4.21618,0.14473,0.8101,1.29834,0,0,0,0,0,0,0,0,0,0,0,208.339,0,0.001208,0.001208,0.001208
6,1055.81,1.20649,3.93488,0.13794,0.76471,1.26385,0,0,0,0,0,0,0,0,0,0,0,229.268,0,0.00101,0.00101,0.00101
7,1223.14,1.15313,3.71149,0.13227,0.72441,1.22708,0,0,0,0,0,0,0,0,0,0,0,235.303,0,0.000812,0.000812,0.000812
8,1390.18,1.1118,3.51942,0.12691,0.69009,1.20141,0,0,0,0,0,0,0,0,0,0,0,264.652,0,0.000614,0.000614,0.000614
9,1557.61,1.06448,3.29194,0.12117,0.64298,1.17634,0,0,0,0,0,0,0,0,0,0,0,260.263,0,0.000416,0.000416,0.000416
10,1724.93,1.02638,3.13428,0.11916,0.6177,1.15181,0,0,0,0,0,0,0,0,0,0,0,286.463,0,0.000218,0.000218,0.000218
